node_id,package_spec,conflicting_nodes
ComfyUI-Allegro,accelerate accelerate==0.33.0,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-Allegro,numpy numpy==1.24.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-Allegro,torch torch==2.4.1,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-AutoTrimBG,numpy numpy==1.21.2,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-AutoTrimBG,pillow pillow==8.4.0,ComfyUI-Simple_QR_Codes:pillow==10.4.0; ComfyUI_CrossImageAttention:pillow==10.1.0; objectfusion_comfyui_nodes:pillow==10.4.0; ComfyUI-LivePortrait_v2:pillow==10.4.0; ComfyUI-aichemy-nodes:pillow==10.2.0; ComfyUI-Flowty-TripoSR:pillow==10.1.0; ComfyUI-Turtle_Graphics_Demos:pillow==10.4.0; comfyui-nsfw-detection:pillow==10.3.0; comfyui-colorwheel:pillow==10.4.0; secureapicall:pillow==10.1.0; comfyui-stringsandthings:pillow==10.3.0; comfyui_dagthomas:pillow==10.4.0; Comfyui_CXH_Phi_3.5:pillow==10.3.0; ComfyUI-SmartCrop:pillow==10.3.0; ComfyUI-NSFW-Check:pillow==10.2.0; comfyui_visual_anagrams:pillow==10.1.0; ComfyUI-LivePortrait_v3:pillow==10.4.0; comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0
ComfyUI-AutoTrimBG,torch torch==1.10.0,ComfyUI_CosyVoice:torch==2.3.1; CosyVoice2:torch==2.3.1; ComfyUI_CrossImageAttention:torch==2.0.1; Openrouter-Node:torch==2.0.1; objectfusion_comfyui_nodes:torch==2.4.0; ComfyUI-LivePortrait_v2:torch==2.3.0+cu121; ComfyUI-aichemy-nodes:torch==2.1.2; ComfyUI-Allegro:torch==2.4.1; comfyui_llm_easyanimiate:torch==2.3.0+cu121; comfyui-colorwheel:torch==2.4.1; comfyui-seamless-clone:torch==2.5.1; comfyui-stringsandthings:torch==2.5.1; ComfyUI-StyleStudio:torch==2.1.0; comfyui_visual_anagrams:torch==2.1.1+cu118; FitDiT-ComfyUI:torch==2.4.0; comfyui-structured-outputs:torch==2.5.1; ComfyUI-LivePortrait_v3:torch==2.3.0+cu121
ComfyUI-DeepFuze,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-DeepFuze,psutil psutil==5.9.8,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-DragNUWA,pytorch-lightning pytorch-lightning==2.1.0,Comfyui_face_restorer:pytorch-lightning==1.0.8; ViewCrafter-ComfyUI:pytorch-lightning==1.9.3; ComfyUI-MotionCtrl-SVD:pytorch-lightning==1.9.0; ComfyUI-MotionCtrl:pytorch-lightning==1.9.0; Comfyui_Lama:pytorch-lightning==1.2.9; ComfyUI_Seg_VITON:pytorch-lightning==1.5.0; ComfyUI-PhotoDoodle:pytorch-lightning==1.9.0
ComfyUI-Flowty-LDSR,torchmetrics torchmetrics==0.11.4,comfyui-unianimate-w:torchmetrics==1.3.0.post0; ComfyUI-LivePortrait_v2:torchmetrics==1.5.1; comfyui-idm-vton:torchmetrics==1.4.0; ComfyUI-LivePortrait_v3:torchmetrics==1.5.1
ComfyUI-Flowty-TripoSR,pillow pillow==10.1.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-Image-Harmonizer,anyio anyio==3.7.1,ComfyUI-LivePortrait_v2:anyio==4.4.0; promptprism:anyio==4.7.0; comfyui-structured-outputs:anyio==4.8.0; ComfyUI-LivePortrait_v3:anyio==4.4.0
ComfyUI-Image-Harmonizer,certifi certifi==2024.8.30,comfyui_visual_anagrams:certifi==2022.12.7; ComfyUI-aichemy-nodes:certifi==2023.11.17
ComfyUI-Image-Harmonizer,httpcore httpcore==0.17.3,ComfyUI-LivePortrait_v2:httpcore==1.0.5; promptprism:httpcore==1.0.7; comfyui-structured-outputs:httpcore==1.0.7; ComfyUI-LivePortrait_v3:httpcore==1.0.5
ComfyUI-LivePortrait_v2,accelerate accelerate==0.34.2,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-LivePortrait_v2,albumentations albumentations==1.4.10,Comfyui_Lama:albumentations==0.5.2
ComfyUI-LivePortrait_v2,altair altair==5.4.1,ComfyUI-PhotoDoodle:altair==4.2.2
ComfyUI-LivePortrait_v2,anyio anyio==4.4.0,ComfyUI-Image-Harmonizer:anyio==3.7.1; comfyui-googletrans:anyio==3.7.1; ComfyUI_Sticker_Compositer:anyio==3.7.1
ComfyUI-LivePortrait_v2,async-timeout async-timeout==4.0.3,promptprism:async-timeout==5.0.1
ComfyUI-LivePortrait_v2,attrs attrs==24.2.0,comfyui_visual_anagrams:attrs==23.1.0; comfyui-structured-outputs:attrs==25.1.0
ComfyUI-LivePortrait_v2,av av==12.3.0,ViewCrafter-ComfyUI:av==10.0.0; Comfyui-MusePose:av==11.0.0
ComfyUI-LivePortrait_v2,certifi certifi==2024.8.30,comfyui_visual_anagrams:certifi==2022.12.7; ComfyUI-aichemy-nodes:certifi==2023.11.17
ComfyUI-LivePortrait_v2,charset-normalizer charset-normalizer==3.3.2,comfyui_visual_anagrams:charset-normalizer==2.1.1
ComfyUI-LivePortrait_v2,flatbuffers flatbuffers==24.3.25,comfyui_visual_anagrams:flatbuffers==23.5.26
ComfyUI-LivePortrait_v2,fsspec fsspec==2024.2.0,ComfyUI-aichemy-nodes:fsspec==2023.12.2; comfyui_visual_anagrams:fsspec==2023.12.0
ComfyUI-LivePortrait_v2,gradio gradio==4.37.1,ComfyUI_CosyVoice:gradio==5.4.0; FitDiT-ComfyUI:gradio==5.8.0; sketch2manga:gradio==3.41.2; ViewCrafter-ComfyUI:gradio==3.37.0; ComfyUI-MotionCtrl:gradio==3.37.0; Lora-Training-in-Comfy:gradio==3.41.2; ComfyUI-PhotoDoodle:gradio==3.6
ComfyUI-LivePortrait_v2,gradio_client gradio_client==1.0.2,ViewCrafter-ComfyUI:gradio_client==0.7.1; Comfyui-FlowChain:gradio_client==0.8.0
ComfyUI-LivePortrait_v2,httpcore httpcore==1.0.5,ComfyUI-Image-Harmonizer:httpcore==0.17.3; comfyui-googletrans:httpcore==0.17.3; ComfyUI_Sticker_Compositer:httpcore==0.17.3
ComfyUI-LivePortrait_v2,jsonschema-specifications jsonschema-specifications==2023.12.1,promptprism:jsonschema-specifications==2024.10.1
ComfyUI-LivePortrait_v2,markupsafe markupsafe==2.1.5,promptprism:markupsafe==3.0.2; comfyui-structured-outputs:markupsafe==3.0.2
ComfyUI-LivePortrait_v2,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-LivePortrait_v2,nvidia-cudnn-cu12 nvidia-cudnn-cu12==8.9.2.26,comfyui-structured-outputs:nvidia-cudnn-cu12==9.1.0.70
ComfyUI-LivePortrait_v2,packaging packaging==24.1,ComfyUI-aichemy-nodes:packaging==23.2; comfyui_visual_anagrams:packaging==23.2
ComfyUI-LivePortrait_v2,pillow pillow==10.4.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-LivePortrait_v2,protobuf protobuf==5.28.3,ComfyUI_CosyVoice:protobuf==4.25; ComfyUI_NTCosyVoice:protobuf==4.25; comfyui_magicquill_fixed:protobuf==4.25.4; ComfyUI_MagicQuill:protobuf==4.25.4; comfyui_visual_anagrams:protobuf==4.23.2; ComfyUI_LLaSM:protobuf==3.19.0; CosyVoice2:protobuf==3.20.2; ComfyUI_Light_A_Video:protobuf==3.20
ComfyUI-LivePortrait_v2,psutil psutil==5.9.8,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-LivePortrait_v2,pytorch-lightning pytorch-lightning==2.4.0,Comfyui_face_restorer:pytorch-lightning==1.0.8; ViewCrafter-ComfyUI:pytorch-lightning==1.9.3; ComfyUI-MotionCtrl-SVD:pytorch-lightning==1.9.0; ComfyUI-MotionCtrl:pytorch-lightning==1.9.0; Comfyui_Lama:pytorch-lightning==1.2.9; ComfyUI_Seg_VITON:pytorch-lightning==1.5.0; ComfyUI-PhotoDoodle:pytorch-lightning==1.9.0
ComfyUI-LivePortrait_v2,pytz pytz==2024.1,ComfyUI-aichemy-nodes:pytz==2023.3.post1
ComfyUI-LivePortrait_v2,qrcode qrcode==7.4.2,ComfyUI-Simple_QR_Codes:qrcode==8.0
ComfyUI-LivePortrait_v2,regex regex==2024.7.24,comfyui_visual_anagrams:regex==2023.10.3
ComfyUI-LivePortrait_v2,tifffile tifffile==2024.8.30,comfyui_visual_anagrams:tifffile==2023.9.26
ComfyUI-LivePortrait_v2,timm timm==0.6.13,Comfyui_mobilesam:timm==1.0.9; sd-lora-trainer:timm==1.0.8; fooocus_nodes:timm==1.0.7
ComfyUI-LivePortrait_v2,torch torch==2.3.0+cu121,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-LivePortrait_v2,torchmetrics torchmetrics==1.5.1,ComfyUI_SemanticSAM:torchmetrics==0.6.0; ComfyUI-Flowty-LDSR:torchmetrics==0.11.4
ComfyUI-LivePortrait_v2,triton triton==2.3.0,comfyui-structured-outputs:triton==3.1.0
ComfyUI-LivePortrait_v2,tzdata tzdata==2024.1,ComfyUI-aichemy-nodes:tzdata==2023.4
ComfyUI-LivePortrait_v2,urllib3 urllib3==2.2.3,comfyui_visual_anagrams:urllib3==1.26.13; ComfyUI-MusePose-Remaster:urllib3==1.26.9; Comfyui-MusePose:urllib3==1.26.9
ComfyUI-LivePortrait_v2,watchdog watchdog==4.0.2,comfyui_usability:watchdog==3.0.0
ComfyUI-LivePortrait_v3,accelerate accelerate==0.34.2,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-LivePortrait_v3,albumentations albumentations==1.4.10,Comfyui_Lama:albumentations==0.5.2
ComfyUI-LivePortrait_v3,altair altair==5.4.1,ComfyUI-PhotoDoodle:altair==4.2.2
ComfyUI-LivePortrait_v3,anyio anyio==4.4.0,ComfyUI-Image-Harmonizer:anyio==3.7.1; comfyui-googletrans:anyio==3.7.1; ComfyUI_Sticker_Compositer:anyio==3.7.1
ComfyUI-LivePortrait_v3,async-timeout async-timeout==4.0.3,promptprism:async-timeout==5.0.1
ComfyUI-LivePortrait_v3,attrs attrs==24.2.0,comfyui_visual_anagrams:attrs==23.1.0; comfyui-structured-outputs:attrs==25.1.0
ComfyUI-LivePortrait_v3,av av==12.3.0,ViewCrafter-ComfyUI:av==10.0.0; Comfyui-MusePose:av==11.0.0
ComfyUI-LivePortrait_v3,certifi certifi==2024.8.30,comfyui_visual_anagrams:certifi==2022.12.7; ComfyUI-aichemy-nodes:certifi==2023.11.17
ComfyUI-LivePortrait_v3,charset-normalizer charset-normalizer==3.3.2,comfyui_visual_anagrams:charset-normalizer==2.1.1
ComfyUI-LivePortrait_v3,flatbuffers flatbuffers==24.3.25,comfyui_visual_anagrams:flatbuffers==23.5.26
ComfyUI-LivePortrait_v3,fsspec fsspec==2024.2.0,ComfyUI-aichemy-nodes:fsspec==2023.12.2; comfyui_visual_anagrams:fsspec==2023.12.0
ComfyUI-LivePortrait_v3,gradio gradio==4.37.1,ComfyUI_CosyVoice:gradio==5.4.0; FitDiT-ComfyUI:gradio==5.8.0; sketch2manga:gradio==3.41.2; ViewCrafter-ComfyUI:gradio==3.37.0; ComfyUI-MotionCtrl:gradio==3.37.0; Lora-Training-in-Comfy:gradio==3.41.2; ComfyUI-PhotoDoodle:gradio==3.6
ComfyUI-LivePortrait_v3,gradio_client gradio_client==1.0.2,ViewCrafter-ComfyUI:gradio_client==0.7.1; Comfyui-FlowChain:gradio_client==0.8.0
ComfyUI-LivePortrait_v3,httpcore httpcore==1.0.5,ComfyUI-Image-Harmonizer:httpcore==0.17.3; comfyui-googletrans:httpcore==0.17.3; ComfyUI_Sticker_Compositer:httpcore==0.17.3
ComfyUI-LivePortrait_v3,jsonschema-specifications jsonschema-specifications==2023.12.1,promptprism:jsonschema-specifications==2024.10.1
ComfyUI-LivePortrait_v3,markupsafe markupsafe==2.1.5,promptprism:markupsafe==3.0.2; comfyui-structured-outputs:markupsafe==3.0.2
ComfyUI-LivePortrait_v3,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-LivePortrait_v3,nvidia-cudnn-cu12 nvidia-cudnn-cu12==8.9.2.26,comfyui-structured-outputs:nvidia-cudnn-cu12==9.1.0.70
ComfyUI-LivePortrait_v3,packaging packaging==24.1,ComfyUI-aichemy-nodes:packaging==23.2; comfyui_visual_anagrams:packaging==23.2
ComfyUI-LivePortrait_v3,pillow pillow==10.4.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-LivePortrait_v3,protobuf protobuf==5.28.3,ComfyUI_CosyVoice:protobuf==4.25; ComfyUI_NTCosyVoice:protobuf==4.25; comfyui_magicquill_fixed:protobuf==4.25.4; ComfyUI_MagicQuill:protobuf==4.25.4; comfyui_visual_anagrams:protobuf==4.23.2; ComfyUI_LLaSM:protobuf==3.19.0; CosyVoice2:protobuf==3.20.2; ComfyUI_Light_A_Video:protobuf==3.20
ComfyUI-LivePortrait_v3,psutil psutil==5.9.8,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-LivePortrait_v3,pytorch-lightning pytorch-lightning==2.4.0,Comfyui_face_restorer:pytorch-lightning==1.0.8; ViewCrafter-ComfyUI:pytorch-lightning==1.9.3; ComfyUI-MotionCtrl-SVD:pytorch-lightning==1.9.0; ComfyUI-MotionCtrl:pytorch-lightning==1.9.0; Comfyui_Lama:pytorch-lightning==1.2.9; ComfyUI_Seg_VITON:pytorch-lightning==1.5.0; ComfyUI-PhotoDoodle:pytorch-lightning==1.9.0
ComfyUI-LivePortrait_v3,pytz pytz==2024.1,ComfyUI-aichemy-nodes:pytz==2023.3.post1
ComfyUI-LivePortrait_v3,qrcode qrcode==7.4.2,ComfyUI-Simple_QR_Codes:qrcode==8.0
ComfyUI-LivePortrait_v3,regex regex==2024.7.24,comfyui_visual_anagrams:regex==2023.10.3
ComfyUI-LivePortrait_v3,tifffile tifffile==2024.8.30,comfyui_visual_anagrams:tifffile==2023.9.26
ComfyUI-LivePortrait_v3,timm timm==0.6.13,Comfyui_mobilesam:timm==1.0.9; sd-lora-trainer:timm==1.0.8; fooocus_nodes:timm==1.0.7
ComfyUI-LivePortrait_v3,torch torch==2.3.0+cu121,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-LivePortrait_v3,torchmetrics torchmetrics==1.5.1,ComfyUI_SemanticSAM:torchmetrics==0.6.0; ComfyUI-Flowty-LDSR:torchmetrics==0.11.4
ComfyUI-LivePortrait_v3,triton triton==2.3.0,comfyui-structured-outputs:triton==3.1.0
ComfyUI-LivePortrait_v3,tzdata tzdata==2024.1,ComfyUI-aichemy-nodes:tzdata==2023.4
ComfyUI-LivePortrait_v3,urllib3 urllib3==2.2.3,comfyui_visual_anagrams:urllib3==1.26.13; ComfyUI-MusePose-Remaster:urllib3==1.26.9; Comfyui-MusePose:urllib3==1.26.9
ComfyUI-LivePortrait_v3,watchdog watchdog==4.0.2,comfyui_usability:watchdog==3.0.0
ComfyUI-MARS5-TTS,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-MotionCtrl,gradio gradio==3.37.0,ComfyUI-StyleStudio:gradio==4.42.0; ComfyUI-LivePortrait_v2:gradio==4.37.1; ComfyUI-LivePortrait_v3:gradio==4.37.1; ComfyUI_CosyVoice:gradio==5.4.0; FitDiT-ComfyUI:gradio==5.8.0
ComfyUI-MotionCtrl,psutil psutil==5.9.5,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-MotionCtrl,pytorch-lightning pytorch-lightning==1.9.0,ComfyUI-LivePortrait_v2:pytorch-lightning==2.4.0; ComfyUI-DragNUWA:pytorch-lightning==2.1.0; ComfyUI-SVD:pytorch-lightning==2.0.1; ComfyUI-LivePortrait_v3:pytorch-lightning==2.4.0
ComfyUI-MotionCtrl-SVD,psutil psutil==5.9.5,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-MotionCtrl-SVD,pytorch-lightning pytorch-lightning==1.9.0,ComfyUI-LivePortrait_v2:pytorch-lightning==2.4.0; ComfyUI-DragNUWA:pytorch-lightning==2.1.0; ComfyUI-SVD:pytorch-lightning==2.0.1; ComfyUI-LivePortrait_v3:pytorch-lightning==2.4.0
ComfyUI-MusePose-Remaster,accelerate accelerate==0.29.3,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
