node_id,package_spec,conflicting_nodes
ComfyUI-MusePose-Remaster,urllib3 urllib3==1.26.9,ComfyUI-aichemy-nodes:urllib3==2.1.0; ComfyUI-LivePortrait_v2:urllib3==2.2.3; promptprism:urllib3==2.3.0; comfyui-structured-outputs:urllib3==2.3.0; ComfyUI-LivePortrait_v3:urllib3==2.2.3
ComfyUI-NSFW-Check,pillow pillow==10.2.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-PhotoDoodle,accelerate accelerate==0.33.0,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-PhotoDoodle,altair altair==4.2.2,interior-design-for-comfyui:altair==5.5.0; ComfyUI-LivePortrait_v2:altair==5.4.1; ViewCrafter-ComfyUI:altair==5.4.0; StableDesign-for-ComfyUI:altair==5.5.0; ComfyUI-LivePortrait_v3:altair==5.4.1
ComfyUI-PhotoDoodle,gradio gradio==3.6,ComfyUI-StyleStudio:gradio==4.42.0; ComfyUI-LivePortrait_v2:gradio==4.37.1; ComfyUI-LivePortrait_v3:gradio==4.37.1; ComfyUI_CosyVoice:gradio==5.4.0; FitDiT-ComfyUI:gradio==5.8.0
ComfyUI-PhotoDoodle,pytorch-lightning pytorch-lightning==1.9.0,ComfyUI-LivePortrait_v2:pytorch-lightning==2.4.0; ComfyUI-DragNUWA:pytorch-lightning==2.1.0; ComfyUI-SVD:pytorch-lightning==2.0.1; ComfyUI-LivePortrait_v3:pytorch-lightning==2.4.0
ComfyUI-RVC,numpy numpy==1.23.5,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-RabbitMQ-Publisher,numpy numpy==2.1.3,ComfyUI_CrossImageAttention:numpy==1.24.1; ComfyUI-LivePortrait_v2:numpy==1.26.4; ComfyUI-Turtle_Graphics_Demos:numpy==1.26.4; ComfyUI-LivePortrait_v3:numpy==1.26.4; FireRedTTS-ComfyUI:numpy==1.26.4; diffusion360_comfyui:numpy==1.23.5; ComfyUI-aichemy-nodes:numpy==1.26.3; ComfyUI-MARS5-TTS:numpy==1.26.4; ComfyUI-SceneGenerator:numpy==1.23.1; comfyui-colorwheel:numpy==1.26.4; ComfyUI_MaskGCT:numpy==1.26.0; comfyui-unianimate-w:numpy==1.26.0; Gecco-Discord-Autosend:numpy==1.24.3; katalist-ai_comfyUI-nsfw-detection:numpy==1.26.4; comfyui-impact-subpack:numpy==1.26.4; F5-TTS-ComfyUI:numpy==1.26.4; comfyui-reactor:numpy==1.26.3; ComfyUI-Allegro:numpy==1.24.4; comfyui-stringsandthings:numpy==1.26.4; Comfyui_CXH_Phi_3.5:numpy==1.24.4; ComfyUI-StyleStudio:numpy==1.26.4; comfyui_visual_anagrams:numpy==1.23.5; FitDiT-ComfyUI:numpy==1.23.0; StableDesign-for-ComfyUI:numpy==1.26.4; ComfyUI-AutoTrimBG:numpy==1.21.2; comfyui_glm4_wrapper:numpy==1.26.4; interior-design-for-comfyui:numpy==1.26.4; ComfyUI-DeepFuze:numpy==1.26.4; sketch2manga:numpy==1.26.4; ViewCrafter-ComfyUI:numpy==1.23.5; ComfyUI-RVC:numpy==1.23.5; sd-lora-trainer:numpy==1.26.4; comfyui-triposg:numpy==1.22.3; comfyui_slk_joy_caption_two:numpy==1.26.4; ComfyUI_SemanticSAM:numpy==1.23.5
ComfyUI-RabbitMQ-Publisher,pillow pillow==11.0.0,ComfyUI-Simple_QR_Codes:pillow==10.4.0; ComfyUI_CrossImageAttention:pillow==10.1.0; objectfusion_comfyui_nodes:pillow==10.4.0; ComfyUI-LivePortrait_v2:pillow==10.4.0; ComfyUI-aichemy-nodes:pillow==10.2.0; ComfyUI-Flowty-TripoSR:pillow==10.1.0; ComfyUI-Turtle_Graphics_Demos:pillow==10.4.0; comfyui-nsfw-detection:pillow==10.3.0; comfyui-colorwheel:pillow==10.4.0; secureapicall:pillow==10.1.0; comfyui-stringsandthings:pillow==10.3.0; comfyui_dagthomas:pillow==10.4.0; Comfyui_CXH_Phi_3.5:pillow==10.3.0; ComfyUI-SmartCrop:pillow==10.3.0; ComfyUI-NSFW-Check:pillow==10.2.0; comfyui_visual_anagrams:pillow==10.1.0; ComfyUI-LivePortrait_v3:pillow==10.4.0; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-SVD,pytorch-lightning pytorch-lightning==2.0.1,Comfyui_face_restorer:pytorch-lightning==1.0.8; ViewCrafter-ComfyUI:pytorch-lightning==1.9.3; ComfyUI-MotionCtrl-SVD:pytorch-lightning==1.9.0; ComfyUI-MotionCtrl:pytorch-lightning==1.9.0; Comfyui_Lama:pytorch-lightning==1.2.9; ComfyUI_Seg_VITON:pytorch-lightning==1.5.0; ComfyUI-PhotoDoodle:pytorch-lightning==1.9.0
ComfyUI-SceneGenerator,numpy numpy==1.23.1,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-SceneGenerator,pillow pillow==9.0.1,ComfyUI-Simple_QR_Codes:pillow==10.4.0; ComfyUI_CrossImageAttention:pillow==10.1.0; objectfusion_comfyui_nodes:pillow==10.4.0; ComfyUI-LivePortrait_v2:pillow==10.4.0; ComfyUI-aichemy-nodes:pillow==10.2.0; ComfyUI-Flowty-TripoSR:pillow==10.1.0; ComfyUI-Turtle_Graphics_Demos:pillow==10.4.0; comfyui-nsfw-detection:pillow==10.3.0; comfyui-colorwheel:pillow==10.4.0; secureapicall:pillow==10.1.0; comfyui-stringsandthings:pillow==10.3.0; comfyui_dagthomas:pillow==10.4.0; Comfyui_CXH_Phi_3.5:pillow==10.3.0; ComfyUI-SmartCrop:pillow==10.3.0; ComfyUI-NSFW-Check:pillow==10.2.0; comfyui_visual_anagrams:pillow==10.1.0; ComfyUI-LivePortrait_v3:pillow==10.4.0; comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-SceneGenerator,torch torch==1.13.1,ComfyUI_CosyVoice:torch==2.3.1; CosyVoice2:torch==2.3.1; ComfyUI_CrossImageAttention:torch==2.0.1; Openrouter-Node:torch==2.0.1; objectfusion_comfyui_nodes:torch==2.4.0; ComfyUI-LivePortrait_v2:torch==2.3.0+cu121; ComfyUI-aichemy-nodes:torch==2.1.2; ComfyUI-Allegro:torch==2.4.1; comfyui_llm_easyanimiate:torch==2.3.0+cu121; comfyui-colorwheel:torch==2.4.1; comfyui-seamless-clone:torch==2.5.1; comfyui-stringsandthings:torch==2.5.1; ComfyUI-StyleStudio:torch==2.1.0; comfyui_visual_anagrams:torch==2.1.1+cu118; FitDiT-ComfyUI:torch==2.4.0; comfyui-structured-outputs:torch==2.5.1; ComfyUI-LivePortrait_v3:torch==2.3.0+cu121
ComfyUI-Simple_QR_Codes,pillow pillow==10.4.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-Simple_QR_Codes,qrcode qrcode==8.0,ComfyUI-LivePortrait_v2:qrcode==7.4.2; ComfyUI-LivePortrait_v3:qrcode==7.4.2
ComfyUI-SmartCrop,pillow pillow==10.3.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-StyleStudio,gradio gradio==4.42.0,ComfyUI_CosyVoice:gradio==5.4.0; FitDiT-ComfyUI:gradio==5.8.0; sketch2manga:gradio==3.41.2; ViewCrafter-ComfyUI:gradio==3.37.0; ComfyUI-MotionCtrl:gradio==3.37.0; Lora-Training-in-Comfy:gradio==3.41.2; ComfyUI-PhotoDoodle:gradio==3.6
ComfyUI-StyleStudio,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-StyleStudio,torch torch==2.1.0,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-ToonCrafter,pytorch_lightning pytorch_lightning==1.9.3,comfyui-unianimate-w:pytorch_lightning==2.3.0; fooocus_nodes:pytorch_lightning==2.3.3
ComfyUI-Turtle_Graphics_Demos,numpy numpy==1.26.4,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-Turtle_Graphics_Demos,pillow pillow==10.4.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-Turtle_Graphics_Demos,webcolors webcolors==24.11.1,ComfyUI_MagicQuill:webcolors==1.13; img2colors-comfyui-node:webcolors==1.13
ComfyUI-aichemy-nodes,certifi certifi==2023.11.17,ComfyUI-LivePortrait_v2:certifi==2024.8.30; ViewCrafter-ComfyUI:certifi==2024.7.4; ComfyUI-Image-Harmonizer:certifi==2024.8.30; promptprism:certifi==2024.12.14; ComfyUI_Sticker_Compositer:certifi==2024.8.30; comfyui-googletrans:certifi==2024.8.30; comfyui-structured-outputs:certifi==2024.12.14; ComfyUI-LivePortrait_v3:certifi==2024.8.30; comfyui_visual_anagrams:certifi==2022.12.7
ComfyUI-aichemy-nodes,charset-normalizer charset-normalizer==3.3.2,comfyui_visual_anagrams:charset-normalizer==2.1.1
ComfyUI-aichemy-nodes,fsspec fsspec==2023.12.2,ComfyUI-LivePortrait_v2:fsspec==2024.2.0; promptprism:fsspec==2024.12.0; comfyui-structured-outputs:fsspec==2024.12.0; ComfyUI-LivePortrait_v3:fsspec==2024.2.0
ComfyUI-aichemy-nodes,markupsafe markupsafe==2.1.3,promptprism:markupsafe==3.0.2; comfyui-structured-outputs:markupsafe==3.0.2
ComfyUI-aichemy-nodes,numpy numpy==1.26.3,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI-aichemy-nodes,packaging packaging==23.2,comfyui_creepy_nodes:packaging==24.2; ComfyUI-LivePortrait_v2:packaging==24.1; promptprism:packaging==24.2; katalist-ai_comfyUI-nsfw-detection:packaging==24.0; ComfyUI-LivePortrait_v3:packaging==24.1
ComfyUI-aichemy-nodes,pillow pillow==10.2.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI-aichemy-nodes,psutil psutil==5.9.7,comfyui-elegant-resource-monitor:psutil==6.0.0
ComfyUI-aichemy-nodes,pytz pytz==2023.3.post1,ComfyUI-LivePortrait_v2:pytz==2024.1; ComfyUI-LivePortrait_v3:pytz==2024.1
ComfyUI-aichemy-nodes,torch torch==2.1.2,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI-aichemy-nodes,tzdata tzdata==2023.4,ComfyUI-LivePortrait_v2:tzdata==2024.1; ComfyUI-LivePortrait_v3:tzdata==2024.1
ComfyUI-aichemy-nodes,urllib3 urllib3==2.1.0,comfyui_visual_anagrams:urllib3==1.26.13; ComfyUI-MusePose-Remaster:urllib3==1.26.9; Comfyui-MusePose:urllib3==1.26.9
ComfyUI-moondream,accelerate accelerate==0.25.0,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI-moondream,timm timm==0.9.12,Comfyui_mobilesam:timm==1.0.9; sd-lora-trainer:timm==1.0.8; fooocus_nodes:timm==1.0.7
ComfyUI_CosyVoice,gradio gradio==5.4.0,ComfyUI-StyleStudio:gradio==4.42.0; ComfyUI-LivePortrait_v2:gradio==4.37.1; ComfyUI-LivePortrait_v3:gradio==4.37.1; sketch2manga:gradio==3.41.2; ViewCrafter-ComfyUI:gradio==3.37.0; ComfyUI-MotionCtrl:gradio==3.37.0; Lora-Training-in-Comfy:gradio==3.41.2; ComfyUI-PhotoDoodle:gradio==3.6
ComfyUI_CosyVoice,protobuf protobuf==4.25,ComfyUI-LivePortrait_v2:protobuf==5.28.3; katalist-ai_comfyUI-nsfw-detection:protobuf==5.26.1; ComfyUI-LivePortrait_v3:protobuf==5.28.3; ComfyUI_LLaSM:protobuf==3.19.0; CosyVoice2:protobuf==3.20.2; ComfyUI_Light_A_Video:protobuf==3.20
ComfyUI_CosyVoice,torch torch==2.3.1,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI_CrossImageAttention,accelerate accelerate==0.20.3,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI_CrossImageAttention,numpy numpy==1.24.1,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI_CrossImageAttention,pillow pillow==10.1.0,comfyui_creepy_nodes:pillow==11.0.0; interior-design-for-comfyui:pillow==11.2.1; ComfyUI-RabbitMQ-Publisher:pillow==11.0.0; comfyui-structured-outputs:pillow==11.1.0; StableDesign-for-ComfyUI:pillow==11.2.1; Openrouter-Node:pillow==9.5.0; ViewCrafter-ComfyUI:pillow==9.4.0; ComfyUI-SceneGenerator:pillow==9.0.1; Gecco-Discord-Autosend:pillow==9.5.0; ComfyUI_SemanticSAM:pillow==9.4.0; ComfyUI-AutoTrimBG:pillow==8.4.0
ComfyUI_CrossImageAttention,torch torch==2.0.1,ComfyUI-AutoTrimBG:torch==1.10.0; ComfyUI-SceneGenerator:torch==1.13.1
ComfyUI_LLaSM,protobuf protobuf==3.19.0,ComfyUI-LivePortrait_v2:protobuf==5.28.3; katalist-ai_comfyUI-nsfw-detection:protobuf==5.26.1; ComfyUI-LivePortrait_v3:protobuf==5.28.3; ComfyUI_CosyVoice:protobuf==4.25; ComfyUI_NTCosyVoice:protobuf==4.25; comfyui_magicquill_fixed:protobuf==4.25.4; ComfyUI_MagicQuill:protobuf==4.25.4; comfyui_visual_anagrams:protobuf==4.23.2
ComfyUI_Light_A_Video,protobuf protobuf==3.20,ComfyUI-LivePortrait_v2:protobuf==5.28.3; katalist-ai_comfyUI-nsfw-detection:protobuf==5.26.1; ComfyUI-LivePortrait_v3:protobuf==5.28.3; ComfyUI_CosyVoice:protobuf==4.25; ComfyUI_NTCosyVoice:protobuf==4.25; comfyui_magicquill_fixed:protobuf==4.25.4; ComfyUI_MagicQuill:protobuf==4.25.4; comfyui_visual_anagrams:protobuf==4.23.2
ComfyUI_MagicQuill,accelerate accelerate==0.33.0,Comfyui_joy-caption-alpha-two:accelerate==1.1.1; interior-design-for-comfyui:accelerate==1.6.0; comfyui-mvadapter:accelerate==1.1.1; comfyui_if_memoavatar:accelerate==1.1.1; StableDesign-for-ComfyUI:accelerate==1.6.0
ComfyUI_MagicQuill,protobuf protobuf==4.25.4,ComfyUI-LivePortrait_v2:protobuf==5.28.3; katalist-ai_comfyUI-nsfw-detection:protobuf==5.26.1; ComfyUI-LivePortrait_v3:protobuf==5.28.3; ComfyUI_LLaSM:protobuf==3.19.0; CosyVoice2:protobuf==3.20.2; ComfyUI_Light_A_Video:protobuf==3.20
ComfyUI_MagicQuill,timm timm==0.6.13,Comfyui_mobilesam:timm==1.0.9; sd-lora-trainer:timm==1.0.8; fooocus_nodes:timm==1.0.7
ComfyUI_MagicQuill,webcolors webcolors==1.13,comfyui_magicquill_fixed:webcolors==24.11.1; ComfyUI-Turtle_Graphics_Demos:webcolors==24.11.1
ComfyUI_MaskGCT,numpy numpy==1.26.0,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
ComfyUI_NTCosyVoice,protobuf protobuf==4.25,ComfyUI-LivePortrait_v2:protobuf==5.28.3; katalist-ai_comfyUI-nsfw-detection:protobuf==5.26.1; ComfyUI-LivePortrait_v3:protobuf==5.28.3; ComfyUI_LLaSM:protobuf==3.19.0; CosyVoice2:protobuf==3.20.2; ComfyUI_Light_A_Video:protobuf==3.20
ComfyUI_Seg_VITON,pytorch-lightning pytorch-lightning==1.5.0,ComfyUI-LivePortrait_v2:pytorch-lightning==2.4.0; ComfyUI-DragNUWA:pytorch-lightning==2.1.0; ComfyUI-SVD:pytorch-lightning==2.0.1; ComfyUI-LivePortrait_v3:pytorch-lightning==2.4.0
ComfyUI_Seg_VITON,triton triton==2.0.0,comfyui-structured-outputs:triton==3.1.0
ComfyUI_SemanticSAM,numpy numpy==1.23.5,comfyui_creepy_nodes:numpy==2.0.0; comfyui-fal-api-flux:numpy==2.1.1; Comfyui_mobilesam:numpy==2.1.2; comfyui-seamless-clone:numpy==2.2.0; ComfyUI-RabbitMQ-Publisher:numpy==2.1.3; comfyui-scene-composer:numpy==2.1.2; comfyui-structured-outputs:numpy==2.2.2; comfyui-prompt-factory:numpy==2.1.3
