package,node_packs_strict,distinct_strict_specs,conflict_pairs,precise_conflicts,per_spec_counts
numpy,75,22,2444,990,==1.22.3:1; ==1.26.4:18; <2.0:4; <=1.26.4:6; <2:17; ==1.24.1:1; ==1.23.5:5; ==1.23.1:1; ==2.0.0:1; ==1.21.2:1; <2.0.0:4; ==2.1.2:2; ==1.26.0:2; ==1.24.4:2; ==1.26.3:2; ==2.2.2:1; ==2.1.3:2; ==1.24.3:1; ==1.23.0:1; ==2.1.1:1; <=2.0:1; ==2.2.0:1
transformers,42,28,840,671,==4.30.2:3; ==4.37.2:4; ==4.46.3:1; ==4.28.1:1; ==4.40.1:4; ==4.26.1:2; ==4.48.0:2; ==4.35.0:1; ==4.45.0:1; <=4.41.2:1; <=4.42.4:1; ==4.43.2:1; ==4.45.2:1; ==4.33.2:2; ==4.44.2:2; ==4.43.0:1; ==4.33.1:2; ==4.44.0:2; ==4.39.3:1; ==4.41.1:1; ==4.36.2:1; <=4.48.3:1; <=4.48.0:1; ==4.34.0:1; ==4.40.2:1; ==4.35.2:1; <=4.45.1:1; ==4.15.0:1
diffusers,41,22,786,664,==0.31.0:4; ==0.19.3:1; ==0.30.0:1; ==0.11.1:3; <=0.31.0:2; ==0.29.0:1; ==0.32.2:2; ==0.33.1:2; ==0.26.0:2; ==0.27.2:3; ==0.28.0:1; ==0.24.0:6; ==0.18.2:1; ==0.26.3:1; ==0.25.1:2; ==0.27.0:1; ==0.25:1; ==0.20.2:1; <=0.27.2:2; ==0.30.1:1; ==0.25.0:2; ==0.21.4:1
pillow,31,14,427,411,==10.3.0:4; <10.0.0:1; ==10.1.0:4; ==9.4.0:2; ==9.0.1:1; ==11.0.0:2; ==8.4.0:1; ==11.2.1:2; ==10.2.0:2; ==10.4.0:7; ==11.1.0:1; ==9.5.0:2; <9.0.0:1; <10:1
accelerate,23,12,235,235,==0.23.0:2; ==0.33.0:5; ==1.1.1:3; ==0.20.3:1; ==1.6.0:2; ==0.27.2:1; ==0.32.1:1; ==0.34.2:2; ==0.30.0:2; ==0.29.3:2; ==0.31.0:1; ==0.25.0:1
opencv-python,22,7,203,203,==4.10.0.84:4; ==4.6.0.66:1; ==4.7.0.72:4; ==4.11.0.86:4; ==4.8.0.74:2; ==4.9.0.80:4; ==4.8.1.78:3
torch,21,13,200,178,==2.5.1:3; ==2.0.1:2; ==1.13.1:1; ==2.3.1:2; ==1.10.0:1; ==2.4.1:2; ==2.1.2:1; ==2.1.0:1; ==2.3.0+cu121:3; ==2.4.0:2; <2.0.0:1; ==2.1.1+cu118:1; <3.0.0:1
einops,18,4,113,113,==0.6.1:3; ==0.7.0:6; ==0.8.0:7; ==0.4.1:2
scipy,14,9,85,85,==1.13.1:3; ==1.9.1:1; ==1.15.2:2; ==1.14.0:1; ==1.11.4:2; ==1.10.1:1; ==1.14.1:1; ==1.13.0:2; ==1.2:1
imageio,13,9,74,74,==2.27.0:2; ==2.36.0:1; ==2.14.1:2; ==2.33.1:1; ==2.34.2:2; ==2.33.0:2; ==2.9.0:1; ==2.36.1:1; ==2.19.3:1
huggingface-hub,12,11,65,65,==0.16.4:1; ==0.26.2:1; ==0.23.5:1; ==0.25.2:1; ==0.23.2:1; ==0.24.6:1; ==0.23.4:2; ==0.20.2:1; ==0.17.3:1; ==0.24.5:1; ==0.27.0:1
timm,13,7,62,62,==0.6.13:6; ==1.0.9:1; ==0.4.12:2; ==1.0.8:1; ==1.0.7:1; ==0.6.7:1; ==0.9.12:1
torchvision,12,7,60,60,==0.20.1:2; ==0.15.2:2; ==0.16.2:1; ==0.16.0:1; ==0.18.0+cu121:3; ==0.19.0:2; ==0.15.2+cu118:1
tqdm,12,6,56,56,==4.64.1:1; ==4.65.0:1; ==4.66.2:1; ==4.66.1:2; ==4.67.1:3; ==4.66.4:4
gradio,12,8,62,52,==3.41.2:2; ==3.37.0:2; <=3.48.0:2; ==5.4.0:1; ==4.42.0:1; ==4.37.1:2; ==5.8.0:1; ==3.6:1
protobuf,11,8,52,52,==4.25.4:2; ==4.25:2; ==3.20.2:1; ==5.26.1:1; ==3.19.0:1; ==5.28.3:2; ==4.23.2:1; ==3.20:1
pytorch-lightning,11,8,51,51,==2.1.0:1; ==1.9.3:1; ==1.9.0:3; ==1.0.8:1; ==1.2.9:1; ==1.5.0:1; ==2.0.1:1; ==2.4.0:2
requests,13,4,56,44,==2.28.1:2; ==2.31.0:6; ==2.32.3:4; <3.0.0:1
openai,10,7,42,42,==1.35.13:1; ==1.58.1:2; ==1.60.2:1; ==1.52.1:2; ==1.42.0:1; ==1.12.0:2; ==1.44.0:1
matplotlib,10,6,40,40,==3.6.3:1; ==3.7.5:3; ==3.10.0:2; ==3.8.2:1; ==3.9.2:2; ==3.8.3:1
imageio-ffmpeg,10,5,38,38,==0.4.8:1; ==0.5.1:3; ==0.4.7:3; ==0.4.4:1; ==0.4.9:2
huggingface_hub,10,6,41,35,==0.24.6:2; ==0.30.2:2; ==0.24.3:2; ==0.23.4:2; ==0.26.5:1; <=0.25:1
onnx,10,4,35,35,==1.16.0:4; ==1.14.0:3; ==1.16.2:1; ==1.16.1:2
certifi,10,5,34,34,==2024.7.4:1; ==2023.11.17:1; ==2024.12.14:2; ==2024.8.30:5; ==2022.12.7:1
omegaconf,13,3,32,32,==2.3.0:10; ==2.2.3:2; ==2.1.1:1
onnxruntime,9,5,31,31,==1.18.0:3; ==1.15.0:2; ==1.17.3:1; ==1.19.2:2; ==1.20.1:1
httpx,10,5,38,30,==0.27.0:2; ==0.28.1:1; ==0.24.1:3; ==0.27.2:3; <=0.27.2:1
urllib3,9,6,33,30,<1.27:1; ==2.1.0:1; ==2.3.0:2; ==2.2.3:2; ==1.26.9:2; ==1.26.13:1
psutil,9,5,30,30,==5.9.5:3; ==5.9.7:1; ==5.9.8:3; ==5.9.0:1; ==6.0.0:1
idna,10,4,29,29,==3.10:6; ==3.6:1; ==3.8:2; ==3.4:1
networkx,9,4,29,29,==3.1:3; ==3.2.1:3; ==3.4.2:2; ==3.0:1
xformers,8,7,27,27,==0.0.21:1; ==0.0.29.post3:2; ==0.0.28.post1:1; ==0.0.27:1; ==0.0.22.post7:1; ==0.0.19:1; ==0.0.27.post2:1
torchaudio,8,6,26,25,==2.3.1:2; ==2.1.0:1; ==2.3.0+cu121:2; ==2.4.0:1; ==2.0.2+cu118:1; <2.1:1
sentencepiece,11,2,24,24,==0.2.0:8; ==0.1.99:3
tokenizers,8,5,24,24,==0.15.1:2; ==0.13.3:1; ==0.19.1:3; ==0.14.1:1; ==0.21.0:1
kornia,8,5,24,24,==0.6.9:2; ==0.5.0:1; ==0.6.4:1; ==0.7.3:3; ==0.7.0:1
scikit-learn,8,4,23,23,==1.2.2:3; ==1.5.1:2; ==1.3.2:2; ==1.5.2:1
rich,8,4,23,23,==13.7.1:3; ==13.9.4:2; ==13.9.3:2; ==13.7.0:1
peft,8,4,22,22,==0.13.2:3; ==0.14.0:1; ==0.10.0:1; ==0.12.0:3
bitsandbytes,7,6,20,20,==0.43.1:1; ==0.44.1:2; ==0.43.3:1; ==0.44.0:1; ==0.42:1; ==0.35.4:1
pyyaml,8,3,19,19,==6.0:1; ==6.0.2:3; ==6.0.1:4
scikit-image,8,3,19,19,==0.20.0:1; ==0.24.0:4; ==0.21.0:3
packaging,7,4,18,18,==24.2:2; ==24.0:1; ==23.2:2; ==24.1:2
mediapipe,8,3,17,17,==0.10.18:1; ==0.10.14:5; ==0.10.15:2
boto3,7,4,17,17,==1.34.32:3; ==1.34.86:1; ==1.34.123:2; ==1.28.57:1
onnxruntime-gpu,7,4,17,17,==1.18.0:2; ==1.17.0:1; ==1.19.0:1; ==1.15.1:3
pydantic,7,4,17,17,==2.7.0:3; ==2.10.6:1; ==2.8.2:2; ==2.10.4:1
jinja2,7,4,17,17,==3.1.3:1; ==3.1.5:2; ==3.1.4:3; ==3.1.2:1
anyio,7,4,17,17,==4.8.0:1; ==3.7.1:3; ==4.4.0:2; ==4.7.0:1
markupsafe,7,3,16,16,==2.1.3:2; ==3.0.2:2; ==2.1.5:3
httpcore,7,3,16,16,==1.0.7:2; ==0.17.3:3; ==1.0.5:2
torchmetrics,6,5,14,14,==0.6.0:1; ==0.11.4:1; ==1.3.0.post0:1; ==1.5.1:2; ==1.4.0:1
ultralytics,6,5,14,14,==8.2.84:1; ==8.1.1:1; ==8.2.32:1; ==8.2.102:2; ==8.2.78:1
altair,6,4,13,13,==5.4.0:1; ==5.5.0:2; ==5.4.1:2; ==4.2.2:1
yarl,6,4,13,13,==1.9.4:1; ==1.17.1:1; ==1.18.3:2; ==1.9.7:2
pandas,6,4,13,13,==2.2.1:1; ==2.1.4:1; ==2.2.2:2; <2.0:2
fsspec,6,4,13,13,==2023.12.2:1; ==2024.12.0:2; ==2024.2.0:2; ==2023.12.0:1
attrs,6,4,12,12,==24.2.0:3; ==25.1.0:1; ==23.1.0:1; ==24.3.0:1
filelock,6,4,12,12,==3.13.1:3; ==3.17.0:1; ==3.12.4:1; ==3.16.1:1
charset-normalizer,6,3,11,11,==3.3.2:3; ==3.4.1:2; ==2.1.1:1
colorama,7,2,10,10,==0.4.6:5; ==0.4.4:2
python-dotenv,10,2,9,9,==1.0.1:9; ==1.0.0:1
numba,5,4,9,9,==0.59.1:1; ==0.60.0:2; ==0.56.4:1; ==0.55.1:1
open-clip-torch,5,4,9,9,==2.17.1:1; ==2.24.0:1; ==2.19.0:1; ==2.20.0:2
fastapi,5,4,9,9,==0.115.6:1; ==0.108.0:1; ==0.111.0:1; ==0.110.3:2
ollama,5,4,9,9,==0.4.2:2; ==0.4.8:1; ==0.3.1:1; ==0.4.5:1
annotated-types,6,2,8,8,==0.5.0:2; ==0.7.0:4
grpcio,5,3,8,8,==1.66.0:1; ==1.57.0:2; ==1.66.1:2
deepspeed,5,3,8,8,==0.14.2:2; ==0.16.3:1; ==0.15.1:2
aiohappyeyeballs,5,3,8,8,==2.4.3:1; ==2.4.4:2; ==2.4.0:2
aiohttp,5,3,8,8,==3.10.10:1; ==3.11.11:2; ==3.10.5:2
opencv-python-headless,5,3,7,7,==4.10.0.84:3; ==4.9.0.80:1; ==4.8.0.76:1
triton,6,5,14,6,<3.1.0:1; <3.2.0:1; ==3.1.0:1; ==2.0.0:1; ==2.3.0:2
hydra-core,7,2,6,6,==1.3.2:6; ==1.1.0:1
librosa,7,2,6,6,==0.10.2:6; ==0.9.1:1
open_clip_torch,5,2,6,6,==2.22.0:2; ==2.26.1:3
gdown,5,2,6,6,==5.1.0:3; ==5.2.0:2
aiosignal,5,2,6,6,==1.3.1:3; ==1.3.2:2
frozenlist,5,2,6,6,==1.5.0:3; ==1.4.1:2
multidict,5,2,6,6,==6.1.0:3; ==6.0.5:2
click,5,2,6,6,==8.1.8:2; ==8.1.7:3
typing-extensions,5,2,6,6,==4.12.2:2; ==4.7.1:3
sympy,6,2,5,5,==1.12:5; ==1.13.1:1
fairscale,6,2,5,5,==0.4.13:5; ==0.4.4:1
inference-gpu,4,3,5,5,==0.9.13:1; ==0.20.1:2; ==0.16.2:1
av,4,3,5,5,==10.0.0:1; ==12.3.0:2; ==11.0.0:1
trimesh,4,3,5,5,==4.4.3:1; ==4.0.5:1; ==4.4.9:2
gradio_client,4,3,5,5,==0.7.1:1; ==1.0.2:2; ==0.8.0:1
modelscope,4,3,5,5,==1.15.0:2; ==1.20.1:1; ==1.17.1:1
albumentations,4,3,5,5,==1.4.21:1; ==0.5.2:1; ==1.4.10:2
easydict,4,3,5,5,==1.9.0:1; ==1.11:1; ==1.13:2
typing_extensions,4,3,5,5,==4.9.0:1; ==4.12.2:2; ==4.4.0:1
nvidia-cudnn-cu12,4,3,5,5,==9.1.0.70:1; ==8.9.2.26:2; ==8.9.6.50:1
nvidia-nvjitlink-cu12,4,3,5,5,==12.4.127:1; ==12.1.105:2; ==12.2.140:1
regex,4,3,5,5,==2024.7.24:2; ==2023.10.3:1; ==2024.11.6:1
zipp,4,3,5,5,==3.20.1:2; ==3.17.0:1; ==3.21.0:1
chardet,5,2,4,4,==5.1.0:1; ==5.2.0:4
pygments,5,2,4,4,==2.18.0:4; ==2.19.1:1
safetensors,5,2,4,4,==0.4.4:4; ==0.4.0:1
webcolors,4,2,4,4,==24.11.1:2; ==1.13:2
uvicorn,4,2,4,4,==0.30.0:2; ==0.30.6:2
spaces,4,2,4,4,==0.19.4:2; ==0.30.3:2
instructor,4,2,4,4,==1.7.2:2; ==1.6.3:2
jiter,4,2,4,4,==0.8.2:2; ==0.5.0:2
typer,4,2,4,4,==0.15.1:2; ==0.12.5:2
ftfy,4,2,4,4,==6.2.3:2; ==6.1.1:2
opencv-contrib-python,4,2,4,4,==4.10.0.84:2; ==4.8.1.78:2
basicsr,4,2,3,3,==1.3.5:1; ==1.4.2:3
flatbuffers,4,2,3,3,==24.3.25:3; ==23.5.26:1
nvidia-cublas-cu12,4,2,3,3,==12.4.5.8:1; ==12.1.3.1:3
nvidia-cuda-cupti-cu12,4,2,3,3,==12.4.127:1; ==12.1.105:3
nvidia-cuda-nvrtc-cu12,4,2,3,3,==12.4.127:1; ==12.1.105:3
nvidia-cuda-runtime-cu12,4,2,3,3,==12.4.127:1; ==12.1.105:3
nvidia-cufft-cu12,4,2,3,3,==11.2.1.3:1; ==11.0.2.54:3
nvidia-curand-cu12,4,2,3,3,==10.3.5.147:1; ==10.3.2.106:3
nvidia-cusolver-cu12,4,2,3,3,==11.6.1.9:1; ==11.4.5.107:3
nvidia-cusparse-cu12,4,2,3,3,==12.3.1.170:1; ==12.1.0.106:3
nvidia-nvtx-cu12,4,2,3,3,==12.4.127:1; ==12.1.105:3
pytorch_lightning,3,3,3,3,==2.3.0:1; ==2.3.3:1; ==1.9.3:1
tensorboard,3,2,2,2,==2.12.2:1; ==2.14.0:2
starlette,3,2,2,2,==0.38.2:1; ==0.37.2:2
importlib_metadata,3,2,2,2,==8.6.1:1; ==8.5.0:2
jax,3,2,2,2,==0.4.35:1; ==0.4.31:2
qrcode,3,2,2,2,==8.0:1; ==7.4.2:2
dynamicprompts,3,2,2,2,==0.23.0:1; ==0.30.2:2
propcache,3,2,2,2,==0.2.0:1; ==0.2.1:2
python-slugify,3,2,2,2,==8.0.1:1; ==8.0.4:2
contourpy,3,2,2,2,==1.2.0:1; ==1.3.0:2
fonttools,3,2,2,2,==4.47.2:1; ==4.53.1:2
pyparsing,3,2,2,2,==3.1.1:1; ==3.1.4:2
python-dateutil,3,2,2,2,==2.8.2:1; ==2.9.0.post0:2
pytz,3,2,2,2,==2023.3.post1:1; ==2024.1:2
seaborn,3,2,2,2,==0.13.1:1; ==0.13.2:2
tzdata,3,2,2,2,==2023.4:1; ==2024.1:2
watchdog,3,2,2,2,==3.0.0:1; ==4.0.2:2
nvidia-nccl-cu12,3,2,2,2,==2.21.5:1; ==2.20.5:2
anthropic,3,2,2,2,==0.34.2:2; ==0.42.0:1
async-timeout,3,2,2,2,==4.0.3:2; ==5.0.1:1
jsonschema-specifications,3,2,2,2,==2023.12.1:2; ==2024.10.1:1
lazy_loader,3,2,2,2,==0.4:2; ==0.3:1
pywavelets,3,2,2,2,==1.7.0:2; ==1.5.0:1
rpds-py,3,2,2,2,==0.20.0:2; ==0.22.3:1
tifffile,3,2,2,2,==2024.8.30:2; ==2023.9.26:1
wcwidth,3,2,2,2,==0.2.13:2; ==0.2.12:1
black,2,2,1,1,==23.7.0:1; ==23.12.1:1
nltk,2,2,1,1,==3.8.1:1; ==3.9.1:1
googletrans,2,2,1,1,==4.0.0-rc1:1; ==3.1.0a0:1
funasr,2,2,1,1,==1.0.27:1; ==1.2.0:1
setuptools,2,2,1,1,==70.3.0:1; ==75.8.0:1
deepface,2,2,1,1,==0.0.93:1; ==0.0.89:1
opencv_python,2,2,1,1,==4.8.0.76:1; ==4.10.0.84:1
flask,2,2,1,1,==3.0.3:1; ==2.1.2:1
importlib-metadata,2,2,1,1,==6.8.0:1; ==8.5.0:1
websockets,4,3,5,0,==11.0.3:2; <12.0:1; <14.0.0:1
